text,incident_type,source
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-4030, identified as Cobalt Strike variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-5623, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 46fdb5..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-5583, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 494 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed trojan infection spreading through network share, affecting 227 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 478 workstations.",Malware,Synthetic-Enhanced
"Automated scan discovered Cobalt Strike trojan on server SRV-APP-64, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Automated scan discovered Cobalt Strike trojan on server SRV-APP-84, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-8011, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-6705, identified as Cobalt Strike variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed trojan infection spreading through network share, affecting 496 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 71 workstations.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 222380..., analysis confirmed it as loader attempting privilege escalation.",Malware,Synthetic-Enhanced
"Automated scan discovered TrickBot trojan on server SRV-FILE-67, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed trojan infection spreading through network share, affecting 332 workstations.",Malware,Synthetic-Enhanced
"Automated scan discovered Qakbot trojan on server SRV-APP-33, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Automated scan discovered Cobalt Strike trojan on server SRV-FILE-59, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-4855, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Automated scan discovered TrickBot trojan on server SRV-APP-55, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 310 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 7c4da4..., analysis confirmed it as trojan attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 331 workstations.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 683e4a..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 891276..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of BumbleBee infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 3b11d8..., analysis confirmed it as RAT attempting privilege escalation.",Malware,Synthetic-Enhanced
"Automated scan discovered Qakbot trojan on server SRV-DB-11, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 5a6084..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 271 workstations.",Malware,Synthetic-Enhanced
"Automated scan discovered TrickBot trojan on server SRV-DB-82, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Automated scan discovered IcedID trojan on server SRV-APP-45, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-DB-84, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-7812, identified as TrickBot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-7362, identified as IcedID variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 944bc0..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 176 workstations.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-8917, identified as BumbleBee variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Automated scan discovered IcedID trojan on server SRV-APP-86, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 37 workstations.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 1db753..., analysis confirmed it as trojan attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 130 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed worm infection spreading through network share, affecting 386 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of BumbleBee infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of TrickBot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 3b05b1..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 380 workstations.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-DB-54, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 19 workstations.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-4177, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 438 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 146 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-6072, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 885b06..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed RAT infection spreading through network share, affecting 276 workstations.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-9295, identified as BumbleBee variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of BumbleBee infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 307 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 94 workstations.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-8178, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered TrickBot trojan on server SRV-DB-32, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 7f6d7f..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Emotet infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-APP-24, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 26e06b..., analysis confirmed it as backdoor attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 685357..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 4a6557..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 753f87..., analysis confirmed it as loader attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of BumbleBee infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-DB-19, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of TrickBot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed worm infection spreading through network share, affecting 186 workstations.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 212870..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Qakbot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-APP-61, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered IcedID trojan on server SRV-APP-33, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 111 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of BumbleBee infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 8e8673..., analysis confirmed it as backdoor attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Emotet infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Emotet infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Qakbot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 82383b..., analysis confirmed it as RAT attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed trojan infection spreading through network share, affecting 441 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed backdoor infection spreading through network share, affecting 94 workstations.",Malware,Synthetic-Enhanced
"Automated scan discovered BumbleBee trojan on server SRV-APP-43, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Cobalt Strike infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 411 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of TrickBot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-APP-30, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Qakbot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-5025, identified as IcedID variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 77f86f..., analysis confirmed it as loader attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of TrickBot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-8211, identified as Qakbot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-7740, identified as TrickBot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Automated scan discovered IcedID trojan on server SRV-APP-84, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed worm infection spreading through network share, affecting 155 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 475 workstations.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed infostealer infection spreading through network share, affecting 400 workstations.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-8525, identified as Emotet variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 12ab4f..., analysis confirmed it as RAT attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 587519..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-4394, identified as Emotet variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 619dd1..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 844b25..., analysis confirmed it as loader attempting privilege escalation.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed loader infection spreading through network share, affecting 56 workstations.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Qakbot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 1813fb..., analysis confirmed it as infostealer attempting privilege escalation.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 57a718..., analysis confirmed it as trojan attempting privilege escalation.",Malware,Synthetic-Enhanced
"Automated scan discovered Cobalt Strike trojan on server SRV-FILE-32, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed RAT infection spreading through network share, affecting 52 workstations.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-7969, identified as TrickBot variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 327439..., analysis confirmed it as trojan attempting privilege escalation.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of IcedID infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered BumbleBee trojan on server SRV-APP-99, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Automated scan discovered BumbleBee trojan on server SRV-FILE-14, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of BumbleBee infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-FILE-98, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Endpoint protection blocked execution of suspicious binary 3e8c67..., analysis confirmed it as worm attempting privilege escalation.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-9620, identified as Emotet variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of TrickBot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-FILE-41, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Security team detected unusual process executing on endpoint WS-1778, identified as IcedID variant attempting to establish command and control communication.",Malware,Synthetic-Enhanced
"Automated scan discovered Emotet trojan on server SRV-FILE-36, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of TrickBot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"Automated scan discovered Qakbot trojan on server SRV-APP-79, exfiltrating data to external IP address over encrypted channel.",Malware,Synthetic-Enhanced
"Multiple hosts showing signs of Qakbot infection including registry modifications, scheduled tasks creation, and network scanning behavior.",Malware,Synthetic-Enhanced
"User reported system slowdown. Investigation revealed RAT infection spreading through network share, affecting 333 workstations.",Malware,Synthetic-Enhanced
