text,incident_type,source
"Database server encrypted by Akira, ransom demand discovered in C:\README.txt, operations critically impacted.",Ransomware,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 12 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 265 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 3 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 178 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 59 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 143 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 479 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 216 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 6 hours.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 22 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 376 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 192 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 445 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 165 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 6 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 9 hours.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 148 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 377 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 227 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 321 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 328 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 203 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 134 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 404 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 56 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 270 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 133 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 425 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 5 hours.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 12 hours.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 4 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 222 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 9 hours.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 270 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 11 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 339 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 7 hours.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 136 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 124 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 379 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 402 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 4 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 137 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 154 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 246 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 2 hours.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 129 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 435 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 94 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 12 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 140 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 223 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 374 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 337 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 143 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 390 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 144 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 8 hours.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 298 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 2 hours.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 212 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 5 hours.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 162 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 260 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 8 hours.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 6 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 104 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 407 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 184 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 124 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 267 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 185 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 103 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 485 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 3 hours.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 144 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 80 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 448 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 475 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 207 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 325 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 3 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 88 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 2 hours.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 344 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 254 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 420 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 286 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 467 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 4 hours.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 361 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 6 hours.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 491 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 380 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 293 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 10 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 396 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 349 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 121 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 124 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 125 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 12 hours.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 8 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 3 hours.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 9 hours.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 10 hours.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 163 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 498 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 4 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 401 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 350 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 59 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 423 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 468 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 384 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Layer 7 application attack detected targeting login endpoint with 435 requests per second, exhausting server resources.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 337 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 60 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 413 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"SYN flood attack consumed all available connections on edge routers, blocking legitimate traffic for 3 hours.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 129 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 113 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 249 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 421 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Application performance degraded severely due to sustained request flood from botnet, legitimate users unable to access services.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 471 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"Network operations center observed traffic spike to 111 Gbps targeting public web services, identified as volumetric DDoS attack.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 218 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
"DNS infrastructure overwhelmed by amplification attack generating 293 queries per second, causing service outage.",Denial of Service,Synthetic-Enhanced
